n,i,algo1,algo2,algoR,algo4
4,371,702,1513,736,941,
4,372,667,1354,667,754,
4,373,614,1088,645,897,
4,374,712,1258,716,1052,
4,375,730,1294,754,998,
4,376,727,1170,692,825,
4,377,588,1324,724,800,
4,378,582,1343,694,846,
4,379,687,1244,678,906,
4,380,604,1346,762,850,
4,381,575,1309,745,787,
4,382,586,1265,725,888,
4,383,609,1640,785,2482,
4,384,586,1586,762,966,
4,385,729,1803,836,1043,
4,386,762,1582,781,921,
4,387,570,1331,821,957,
4,388,644,1390,801,957,
4,389,583,1487,809,1047,
4,390,594,1537,780,1078,
4,391,632,1534,720,835,
4,392,589,1273,548,725,
4,393,691,1285,772,713,
4,394,632,1138,700,728,
4,395,637,1302,680,687,
4,396,706,1225,800,799,
4,397,637,1202,719,745,
4,398,630,1145,659,831,
4,399,576,1189,1130,780,
4,400,584,1507,735,724,
4,401,654,1289,689,637,
4,402,682,1210,642,712,
4,403,598,1090,644,941,
4,404,598,1391,701,857,
4,405,614,1265,673,772,
4,406,596,1325,803,770,
4,407,625,1399,931,761,
4,408,628,1244,782,764,
4,409,698,1355,684,994,
4,410,671,1291,622,840,
4,411,603,1203,758,838,
4,412,562,1277,705,651,
4,413,625,1306,687,843,
4,414,553,1151,702,859,
4,415,590,1130,3063,938,
4,416,520,1254,683,830,
4,417,571,1269,684,740,
4,418,612,1163,685,711,
4,419,462,1085,696,799,
4,420,686,10492,775,908,
4,421,675,1210,705,896,
4,422,492,1138,746,892,
4,423,862,1307,800,1043,
4,424,728,1375,902,1031,
4,425,518,1322,699,922,
4,426,630,1249,846,1144,
4,427,651,1440,692,955,
4,428,570,783,720,967,
4,429,720,567,682,1040,
4,430,568,446,692,1075,
4,431,593,438,684,858,
4,432,572,493,637,860,
4,433,540,397,623,685,
4,434,572,357,605,653,
4,435,587,385,592,641,
4,436,599,375,640,712,
4,437,607,379,647,721,
4,438,566,373,586,714,
4,439,559,365,570,686,
4,440,613,356,599,677,
4,441,728,395,1768,2761,
4,442,1047,683,1110,1499,
4,443,919,566,920,1426,
4,444,682,531,857,1195,
4,445,720,457,709,1008,
4,446,664,421,763,908,
4,447,582,392,606,1168,
4,448,611,473,760,1097,
4,449,605,641,859,1362,
4,450,616,398,697,1081,
4,451,3206,397,666,908,
4,452,658,450,875,1469,
4,453,678,403,759,1133,
4,454,489,405,688,1058,
4,455,561,410,602,911,
4,456,632,398,660,965,
4,457,604,345,718,836,
4,458,599,363,580,2132,
4,459,724,462,1089,860,
4,460,477,325,501,563,
4,461,475,343,476,495,
4,462,360,301,466,505,
4,463,327,253,462,576,
4,464,359,244,447,508,
4,465,316,277,409,500,
4,466,302,296,410,495,
4,467,392,291,456,433,
4,468,350,239,410,488,
4,469,383,273,463,462,
4,470,317,241,490,441,
4,471,359,254,460,443,
4,472,392,244,399,434,
4,473,308,254,410,453,
4,474,348,247,442,419,
4,475,358,249,481,417,
4,476,300,251,432,438,
4,477,313,254,458,443,
4,478,312,263,420,490,
4,479,315,257,438,438,
4,480,314,249,414,436,
4,481,312,301,441,440,
4,482,311,272,424,409,
4,483,307,265,442,450,
4,484,319,322,419,416,
4,485,363,262,448,471,
4,486,330,240,465,477,
4,487,327,298,421,413,
4,488,328,226,448,434,
4,489,409,259,445,410,
4,490,319,255,467,420,
4,491,342,287,409,423,
4,492,343,260,478,427,
4,493,295,275,452,505,
4,494,294,270,458,426,
4,495,341,305,404,425,
4,496,354,245,417,439,
4,497,310,236,486,493,
4,498,333,268,431,422,
4,499,318,243,429,460,
4,500,352,298,423,440,
4,501,321,275,413,481,
4,502,363,264,421,535,
4,503,310,251,436,472,
4,504,313,237,421,491,
4,505,301,263,385,485,
4,506,329,255,502,409,
4,507,307,235,485,408,
4,508,419,299,464,686,
4,509,335,320,448,540,
4,510,345,241,421,435,
4,511,376,237,1243,9207,
4,512,366,241,445,1114,
4,513,329,250,462,583,
4,514,321,258,465,632,
4,515,323,250,410,507,
4,516,343,282,448,475,
4,517,355,263,446,537,
4,518,307,249,393,556,
4,519,295,258,500,517,
4,520,354,250,620,854,
4,521,532,388,752,961,
4,522,546,376,701,852,
4,523,679,402,742,931,
4,524,577,399,666,961,
4,525,611,361,663,871,
4,526,527,448,683,859,
4,527,557,411,722,500,
4,528,648,382,676,359,
4,529,610,394,677,369,
4,530,593,391,708,360,
4,531,639,388,680,307,
4,532,598,445,658,315,
4,533,631,387,680,289,
4,534,688,479,731,304,
4,535,598,395,662,337,
4,536,618,414,754,298,
4,537,601,361,704,349,
4,538,663,395,728,368,
4,539,696,449,700,346,
4,540,660,405,626,303,
4,541,642,396,675,390,
4,542,670,418,661,278,
4,543,644,389,628,319,
4,544,676,383,557,270,
4,545,603,394,700,312,
4,546,572,407,725,298,
4,547,621,380,758,361,
4,548,528,362,729,335,
4,549,625,393,740,337,
4,550,590,410,713,315,
4,551,480,407,750,314,
4,552,617,417,666,295,
4,553,1201,677,956,550,
4,554,1028,595,1113,499,
4,555,608,432,779,328,
4,556,560,394,551,310,
4,557,682,386,687,314,
4,558,611,389,626,313,
4,559,588,324,808,327,
4,560,577,458,610,312,
4,561,600,456,673,355,
4,562,600,443,668,291,
4,563,565,350,622,333,
4,564,636,374,672,317,
4,565,487,458,721,290,
4,566,610,428,713,300,
4,567,568,379,664,310,
4,568,490,386,697,424,
4,569,561,319,602,298,
4,570,489,365,745,398,
4,571,584,425,1763,661,
4,572,1026,595,717,340,
4,573,594,377,655,286,
4,574,544,459,725,332,
4,575,599,403,700,340,
4,576,603,364,670,295,
4,577,654,505,789,331,
4,578,683,381,635,329,
4,579,607,402,679,279,
4,580,614,470,638,330,
4,581,566,379,557,284,
4,582,484,373,548,247,
4,583,481,362,591,313,
4,584,597,324,615,281,
4,585,604,415,610,310,
4,586,615,353,691,305,
4,587,618,389,583,309,
4,588,554,346,669,312,
4,589,627,391,589,281,
4,590,614,380,646,285,
4,591,548,407,581,372,
4,592,542,329,583,260,
4,593,499,383,561,259,
4,594,547,364,545,262,
4,595,520,315,564,243,
4,596,496,340,595,268,
4,597,602,381,721,336,
4,598,533,394,670,337,
4,599,521,439,616,342,
4,600,595,354,646,386,
4,601,601,394,636,272,
4,602,1329,693,1344,535,
4,603,690,439,687,332,
4,604,640,417,645,221,
4,605,635,377,626,296,
4,606,471,335,517,285,
4,607,542,346,706,257,
4,608,550,364,642,472,
4,609,640,395,754,339,
4,610,538,418,642,331,
4,611,619,354,690,337,
4,612,630,330,623,313,
4,613,642,338,652,316,
4,614,561,390,750,316,
4,615,527,390,604,301,
4,616,507,414,618,243,
4,617,531,345,590,234,
4,618,535,389,1521,499,
4,619,1046,580,947,408,
4,620,649,429,676,312,
4,621,665,424,623,396,
4,622,565,354,639,318,
4,623,513,341,571,303,
4,624,670,403,609,410,
4,625,500,370,548,302,
4,626,569,334,684,373,
4,627,624,366,647,367,
4,628,480,385,597,327,
4,629,527,365,641,385,
4,630,595,429,618,388,
4,631,576,483,614,351,
4,632,490,1288,670,432,
4,633,569,364,613,299,
4,634,559,330,662,363,
4,635,513,341,599,262,
4,636,578,386,713,299,
4,637,564,412,656,309,
4,638,599,349,713,277,
4,639,575,382,693,303,
4,640,669,420,720,379,
4,641,552,346,679,340,
4,642,698,405,705,267,
4,643,602,376,596,288,
4,644,601,337,700,342,
4,645,647,337,597,373,
4,646,561,364,619,311,
4,647,486,363,683,288,
4,648,518,405,627,434,
4,649,682,385,765,285,
4,650,526,389,564,229,
4,651,1196,600,1008,495,
4,652,910,602,1480,454,
4,653,672,492,913,260,
4,654,575,420,698,251,
4,655,589,344,653,247,
4,656,546,345,633,257,
4,657,576,413,668,302,
4,658,597,378,1980,246,
4,659,590,374,630,275,
4,660,568,360,591,246,
4,661,555,385,675,255,
4,662,542,450,667,310,
4,663,546,341,634,262,
4,664,530,340,620,247,
4,665,537,362,607,295,
4,666,552,355,606,302,
4,667,619,424,592,244,
4,668,541,351,600,377,
4,669,609,336,758,262,
4,670,655,358,657,244,
4,671,532,359,560,290,
4,672,620,377,740,275,
4,673,730,509,799,359,
